Start,End,Colour
2009-07-19 02:25:00,2009-07-19 05:30:00,Red
2009-08-05 20:40:00,2009-08-05 23:00:00,Amber
2009-08-11 07:10:00,2009-08-11 08:15:00,Amber
2009-09-13 19:15:00,2009-09-13 20:30:00,Amber
2009-09-15 03:55:00,2009-09-15 10:20:00,Amber
2009-09-15 17:55:00,2009-09-15 19:45:00,Amber
2009-09-30 17:20:00,2009-09-30 20:00:00,Amber
2010-05-07 06:35:00,2010-05-07 08:25:00,Amber
2010-05-19 15:35:00,2010-05-19 18:10:00,Amber
2010-06-10 05:10:00,2010-06-10 06:25:00,Amber
2010-06-26 03:58:00,2010-06-26 05:30:00,Amber
2010-06-27 12:50:00,2010-06-27 13:55:00,Amber
2010-06-28 12:45:00,2010-06-28 14:50:00,Amber
2010-07-22 16:35:00,2010-07-22 17:20:00,Amber
2010-07-22 17:20:00,2010-07-22 17:30:00,Red
2010-07-22 17:30:00,2010-07-22 19:50:00,Black
2010-07-22 19:50:00,2010-07-22 21:00:00,Amber
2010-07-28 14:30:00,2010-07-28 15:15:00,Amber
2010-07-28 15:15:00,2010-07-28 15:35:00,Red
2010-07-28 15:35:00,2010-07-28 17:00:00,Black
2010-07-28 17:00:00,2010-07-28 18:10:00,Red
2010-08-05 18:45:00,2010-08-05 19:05:00,Amber
2010-08-05 19:05:00,2010-08-05 20:05:00,Red
2010-08-28 14:15:00,2010-08-28 15:50:00,Amber
2010-09-05 07:25:00,2010-09-05 08:25:00,Amber
2010-09-09 00:10:00,2010-09-09 00:40:00,Amber
2010-09-09 00:40:00,2010-09-09 01:45:00,Red
2010-09-10 22:10:00,2010-09-10 23:25:00,Amber
2010-09-10 23:25:00,2010-09-11 00:40:00,Red
2010-09-20 20:05:00,2010-09-20 21:50:00,Amber
2010-09-21 01:55:00,2010-09-21 02:40:00,Amber
2010-09-21 02:40:00,2010-09-21 04:55:00,Red
2010-09-21 04:55:00,2010-09-21 05:25:00,Amber
2011-04-17 15:55:00,2011-04-17 17:00:00,Amber
2011-05-13 05:30:00,2011-05-13 08:00:00,Amber
2011-05-22 10:45:00,2011-05-22 11:10:00,Amber
2011-05-22 11:10:00,2011-05-22 14:45:00,Red
2011-05-22 20:45:00,2011-05-22 21:55:00,Amber
2011-05-22 21:55:00,2011-05-22 23:25:00,Red
2011-05-22 23:25:00,2011-05-23 00:25:00,Amber
2011-06-11 17:50:00,2011-06-11 20:05:00,Amber
2011-06-12 06:15:00,2011-06-12 09:20:00,Amber
2011-06-16 08:45:00,2011-06-16 11:45:00,Amber
2011-06-17 02:50:00,2011-06-17 04:00:00,Amber
2011-06-28 14:25:00,2011-06-28 16:05:00,Amber
2011-06-29 13:35:00,2011-06-29 15:20:00,Amber
2011-07-16 00:30:00,2011-07-16 02:50:00,Amber
2011-08-10 13:40:00,2011-08-10 15:30:00,Amber
2011-09-19 18:15:00,2011-09-19 19:30:00,Amber
2012-04-16 16:40:00,2012-04-16 19:10:00,Amber
